gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
orf19.1007,764.4028694216964,1.3905818141158537,0.13605187522521972,4.421377981826489e-25,2.364014029939674e-24
orf19.1010,526.7056759204959,1.030341402004065,0.15832344498046133,3.653221808967031e-11,1.2414576458295493e-10
orf19.1026,608.7111359816424,1.1231698733731144,0.1484706242048985,1.663302197730953e-14,6.512073783573919e-14
orf19.1029,244.55634717414458,1.4212216740367805,0.23176262113063512,2.5217971014474446e-10,8.207039783132775e-10
orf19.1030,5273.654404065212,4.413264609718032,0.09179412830435936,0,0
orf19.1042,22470.908406446666,1.1872311341128963,0.0613348278281091,5.9042994277568085e-84,7.399976083601038e-83
orf19.1045,478.5531710901148,1.0076244660422593,0.16704364987862824,7.566160523054745e-10,2.396014941439146e-9
orf19.1047,2506.5642846537776,3.0914896866962884,0.09640917968608032,2.3955884089487666e-226,1.0362583471765185e-224
orf19.1065,50274.092070038314,3.450417372094668,0.06790388485998475,0,0
orf19.107,822.6109484178165,1.7899932588279268,0.14070730606799628,8.08816222301733e-38,5.660804773839882e-37
orf19.1082,108.73478532533774,1.9653020945510902,0.3473384155780203,2.857789293889913e-9,8.77337087808786e-9
orf19.1083,267.1299691877453,1.0459370031803026,0.224676252607642,1.4016102705592531e-6,3.634733711620977e-6
orf19.1091,509.28977119876566,2.9387608755905097,0.1781490231155102,4.694915772452154e-62,4.6791408554567144e-61
orf19.1109,581.6745526691659,1.0183052906619352,0.15087442012392985,7.2150730538472296e-12,2.540570381707993e-11
orf19.1124.2,1971.1447088916814,1.8333996023054255,0.09676226611362432,9.209261468520733e-81,1.1117149164227838e-79
orf19.1164,5026.743416148234,2.423175719638314,0.07689709824545427,7.430688732926367e-220,3.0857173411598893e-218
orf19.1168,1595.7412562047125,1.0575396614704984,0.10131548889583211,6.785362830740536e-26,3.7042966759581767e-25
orf19.1171,7665.532240323616,10.702519450678137,0.7001140001491277,2.5938147278585297e-55,2.3725215770676624e-54
orf19.1199,6978.578542384375,2.5546730879577626,0.07411273992540737,2.0963113555977446e-261,1.1555684454883497e-259
orf19.1203.1,1149.536127766336,1.0603726700369895,0.11429241599766723,7.416544495457612e-21,3.545483934167726e-20
orf19.1224,1271.2027336181736,1.413495831184437,0.11434558009848486,1.2135295388318287e-35,8.154342499874284e-35
orf19.124,989.944025164842,3.5898043537258952,0.14491703300935213,1.6605862314037767e-136,3.8886434719601973e-135
orf19.1250,986.8632399724868,1.8852362513902055,0.13114282285069442,1.2081339858050236e-47,9.914975754386681e-47
orf19.1253,3388.419649791974,1.4943034070906973,0.08094233895397467,7.852132201598134e-77,8.958046059295747e-76
orf19.1287,1542.1461690810506,1.4598096442431145,0.10363882332713228,1.3853583859733869e-45,1.1063329982343881e-44
orf19.1300,870.4709465560206,1.0844157777027745,0.12764649740105016,8.867274310250473e-18,3.8842652375914346e-17
orf19.1301,303.7365712834501,1.6723133600295363,0.20764732548938813,1.870042445076863e-16,7.817781470056228e-16
orf19.1303,356.39071132905065,1.0850915932839098,0.18872202583179185,3.951219867495651e-9,1.2000072430341496e-8
orf19.1304,470.77526197001146,1.3540943293605532,0.16904346863649528,3.3645979481357046e-16,1.3944165415127947e-15
orf19.1305,525.2892025959762,1.5714676983163745,0.16102187408886065,4.524035743669239e-23,2.2985496449686534e-22
orf19.1335,2182.459359683259,1.8087481198893063,0.09314723750197411,1.1236032637275736e-84,1.4167863825423188e-83
orf19.1361,1400.3520820886354,1.5127290785969618,0.10774297095781801,2.4399787951951324e-45,1.9361309446204434e-44
orf19.1362,250.05353317585784,2.3668034298793925,0.2370671489505496,2.580149001316511e-24,1.3494330922922373e-23
orf19.1378,7888.763156474669,1.040404145949024,0.0678957466865821,2.3966577855736743e-53,2.1357340981886147e-52
orf19.1388,653.1383758111954,3.0322989110725818,0.16355996625272706,1.010606107798247e-77,1.1679156670640595e-76
orf19.1390,5956.227359635187,1.0869486331070917,0.07056847668029315,3.969220042165566e-54,3.5625751646468746e-53
orf19.1402,4487.046197416545,1.0636848348404955,0.0758706743839434,4.993790309230879e-45,3.947502517284156e-44
orf19.1403,1111.9147014261055,1.189318853296429,0.12251267465728313,1.0401210774602345e-22,5.229147854317838e-22
orf19.1404,605.3300299319918,1.827681345429857,0.15852195514281767,1.759996908354988e-31,1.0822330446340791e-30
orf19.1409.1,10222.591673563587,1.445502306077002,0.0662815467288766,9.149004435464815e-106,1.5156688465029345e-104
orf19.1435,236157.45189887198,1.1841572191318877,0.05597791921139492,1.179992607206021e-99,1.7797031356625438e-98
orf19.1440,849.9268286980324,1.0072720539387012,0.12903803800110675,2.902528108455027e-15,1.1717334794275025e-14
orf19.1466,329.51455527183316,1.2504979005353443,0.19719102949949777,8.50011520222117e-11,2.8420406653051887e-10
orf19.1470,35132.96242143014,1.1418013591993132,0.061059341396641806,2.2409613743600027e-78,2.614035281065254e-77
orf19.1471,3626.0170804710083,1.0357891519665874,0.07955086988490101,7.247804245630749e-39,5.207217144871273e-38
orf19.1485,441.5795110102685,1.1864472279430163,0.17163280960893573,1.875373790206152e-12,6.783799848544787e-12
orf19.1486,425.3156818868862,3.172525753348741,0.19861538598178197,1.80744702726694e-58,1.7136358497482144e-57
orf19.1490.1,32.19991869935144,2.728152423574546,0.6933418119305983,9.045179027962808e-6,2.2043200377613586e-5
orf19.1495,544.0801703061607,1.2163700520262124,0.1574884570828116,4.303858774105968e-15,1.722926497680339e-14
orf19.150,698.1435966876628,1.0140694560932813,0.14014347193058305,2.0783126352818828e-13,7.812799882420548e-13
orf19.1528,873.9003922702562,1.4034276195711597,0.12944364979527492,6.129067909469339e-28,3.489759050099133e-27
orf19.1533,1261.7272562197475,1.0570504443184006,0.11147973115057402,6.333258674933253e-22,3.1161033401389598e-21
orf19.154,226.88841190202973,2.0595056940949132,0.24343060096741354,4.024210493529231e-18,1.7866576738555652e-17
orf19.1545,658.7147663695089,1.4720081699040217,0.14616362580608191,2.120151747084809e-24,1.1135265794764988e-23
orf19.1549,2094.841161000122,1.2924010660664575,0.0942310181483571,2.8383855651358733e-43,2.1773773011368665e-42
orf19.1566,1409.9036319489157,2.9293303867172757,0.11604411062877715,1.1675483777602705e-141,2.863251513806585e-140
orf19.1569,3007.0307291212507,1.7514707512191345,0.08819908238890889,1.779811220526402e-88,2.3488229009870677e-87
orf19.1575,1683.683099127993,2.4615154738298273,0.10523550256054084,7.170750082080971e-122,1.459692884355633e-120
orf19.1578,3168.9192817139524,3.2206570029130464,0.09726392829610589,7.307676994872607e-242,3.5286449613225944e-240
orf19.158,652.8417258908923,1.2764732547102138,0.14509508572114474,4.979936185559894e-19,2.2675455043751884e-18
orf19.1589,282.5059493073241,1.249828620686839,0.21147730882742202,1.2619747971056692e-9,3.948187348654552e-9
orf19.1601,70524.8348534157,1.3279673104930947,0.058170476543452525,7.684856852378335e-116,1.4549839918986217e-114
orf19.1607,4077.1741354783244,1.37505880239969,0.0775738345407396,7.685722852596685e-71,8.325976982404304e-70
orf19.1609,1742.0336734722484,1.2587092506196398,0.09873671163233466,7.450325269354609e-38,5.2261346962623714e-37
orf19.1618,6248.738979862563,1.1474561870900226,0.07118413506043725,3.7854581255532376e-58,3.583528672351234e-57
orf19.1626,1814.59277638426,1.4731971445272014,0.09979569073067382,7.171048574075402e-50,6.069084452162457e-49
orf19.1633,1539.82656856477,3.011644831074809,0.1125267219212012,6.336088243595804e-159,1.8442754051101992e-157
orf19.1635,32500.929402804548,1.3852119543622698,0.05992170397169239,1.2966661544518983e-118,2.539916187446816e-117
orf19.1642,472.0742498105765,3.1499065370719403,0.18838952385671115,1.0853285465062321e-63,1.093933902295683e-62
orf19.1643,1642.1314815679088,1.373516684242754,0.10117050330833322,1.7776184806230946e-42,1.3405309341163747e-41
orf19.1646,1240.253995908936,2.6773499270839287,0.1192805860510887,1.7874730796430884e-112,3.246113648133177e-111
orf19.1662,1370.4179608320253,1.5469962043056864,0.11007322740002154,1.8744027577108865e-45,1.491143649780474e-44
orf19.1673,828.9606838650665,1.83504740789997,0.13395893282920118,2.1832281387632955e-43,1.681004706595373e-42
orf19.1676,460.00637080106367,1.0447505136460231,0.16737800212449278,1.9506173497677015e-10,6.40168359942203e-10
orf19.168,433.2277852938001,1.3624496392599146,0.17406084800234653,1.4794202356069725e-15,6.030961156803555e-15
orf19.1687,1470.446193112004,2.540664708967242,0.1115288223243877,9.013981514262997e-116,1.696316944179583e-114
orf19.169,2020.0906260716451,2.976405962304505,0.10178884664103638,2.971761019043257e-189,1.0341396305933211e-187
orf19.1697,2090.9083519131173,1.286078783991507,0.0935980298308555,2.059357039858386e-43,1.5875909655046888e-42
orf19.1700,16845.76568525961,1.5572234053516036,0.06454674582966188,4.72362043607974e-129,1.0396972330862438e-127
orf19.1708,221.86541217013053,3.592107898564699,0.2837674387147666,1.19136227813965e-37,8.313500581833734e-37
orf19.171,3506.605695765318,1.7450397366990567,0.08077543846201693,2.599795404898877e-104,4.195369320496141e-103
orf19.1710,2142.613471007133,1.1728572104992498,0.09488209020559321,1.5344273330025375e-35,1.027095845955615e-34
orf19.172,468.39572841441804,3.0295020488777875,0.20137064686669415,1.7352314264276918e-52,1.5202189247845418e-51
orf19.1720,600.5695210262726,1.433987507459206,0.15137693621597242,8.057380541488109e-22,3.945709386236591e-21
orf19.1721,1820.0635182875485,2.022390501202471,0.10653618489227647,2.9023253585159824e-81,3.53788349475461e-80
orf19.1722,67.82640269523225,2.1402844285071243,0.46702758600109046,5.681973064563729e-7,1.5151117388342238e-6
orf19.1742,853.2638049749345,1.0168039715538186,0.14047102137659973,1.995170905988778e-13,7.504782351089431e-13
orf19.1753,1454.8588901629369,2.404191729163676,0.11065397953387815,1.8514364874231564e-105,3.0509518201478414e-104
orf19.1772,533.5010555224736,1.9921224448081543,0.1648017841165063,2.1529593976273725e-34,1.3969566758146773e-33
orf19.1791,685.80086208947,2.278372961931002,0.15017800040806034,7.922539823019793e-53,6.999929157105007e-52
orf19.18,8349.630683314963,2.2956772855113097,0.06927868944331507,1.506203254882006e-241,7.161938988290087e-240
orf19.182,706.9290935192383,1.0654778147251176,0.13984092213941904,1.2967002349133697e-14,5.102429414576993e-14
orf19.1822,16.609388679970635,2.089643093238191,0.9841599509053258,0.003466161248214757,0.006507148407212092
orf19.1833,5925.562173155954,2.9761100887663656,0.07760341907065899,0,0
orf19.1839,4097.887277694478,2.8461314969223106,0.08087022503196444,2.8983688627915044e-272,1.752809674400804e-270
orf19.185,1345.552554787108,1.1862814872750052,0.10962058493976248,1.0739906944747546e-27,6.087250260130342e-27
orf19.1860,11397.229248615227,2.7248518931996975,0.06668356703240409,0,0
orf19.1872,4112.439098373724,1.215428999161924,0.08002768024024799,1.3937249941486996e-52,1.2227483082467957e-51
orf19.1886,1171.0719489596584,1.8374019840403422,0.12315551116368793,4.131197944328554e-51,3.5840155982204125e-50
orf19.1896,21564.575070340892,1.5146067618979975,0.0625132823931161,1.661101465117969e-130,3.721942815186989e-129
orf19.1902,788.091491852844,2.418619805625547,0.1425036011829494,1.7494530847284792e-65,1.7952789563053867e-64
orf19.1915,2204.8406858951817,2.509039792400729,0.09812638569428192,3.934195052387564e-145,1.0043484008738581e-143
orf19.1923,1075.0790606002306,1.9931140371434914,0.12398819936607726,6.253260971600452e-59,5.992548091092187e-58
