gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
CaalfMr16,1378.547276820808,1.9091570206745987,0.5855992055766038,1.4685617664705636e-4,3.074031705670442e-4
CaalfMr17,392.5954830229323,2.008628641280796,0.2232232768164915,2.82524376952294e-20,1.5059924516961733e-19
orf19.1005,138.13914702977732,5.104799992445322,0.47453224572304414,8.246722878204078e-28,5.713212453468353e-27
orf19.1007,1943.6324930049414,3.1436116093381,0.12220549106519556,1.8538517283928516e-146,5.93422691724522e-145
orf19.1010,837.0571686496478,2.0496633161358684,0.1492676914522326,1.2969838048211847e-43,1.2953236655510136e-42
orf19.1026,689.4119235853063,1.493454554213743,0.15591010527513988,2.774584793372007e-22,1.5845341518964378e-21
orf19.1026.1,102.66119476075028,2.0100042145227506,0.3604279398921433,4.713272430462506e-9,1.4464231322982774e-8
orf19.1029,398.88711309241194,2.43592645976651,0.20775084191194418,1.218050138459789e-32,9.835794261663651e-32
orf19.1030,8704.615496124674,5.247460924775763,0.10631264768502992,0,0
orf19.1033,3327.394915343481,-2.4432046179443385,0.10690792377942901,2.3183188495404667e-116,5.399606812996863e-115
orf19.1036,1440.0994533578337,-1.5297266212385128,0.12644681750336453,3.0355422503416076e-34,2.5297536350643945e-33
orf19.1042,23519.109326950544,1.3980964594649838,0.09094806126295168,7.615606853088423e-54,8.93545450695074e-53
orf19.1043,377.22530324049205,1.0668976980950464,0.1930409076408952,1.6698412568249073e-8,4.958681791199368e-8
orf19.1045,1064.3920318068317,2.6040027090691567,0.15909097635104352,2.2279227465250004e-61,2.82083038211137e-60
orf19.1047,1690.0021505707934,2.531703403735474,0.1279015858530611,3.9396498625893057e-88,6.849942741582854e-87
orf19.1048,377.53801892928124,2.066539661740102,0.20118373439995751,1.8269114684275094e-25,1.1804949674870096e-24
orf19.1050,257.3110615152548,1.3476721645626135,0.2362761198270613,4.131863244696699e-9,1.2711232318086149e-8
orf19.1064,18731.128814870957,-1.8387121145550374,0.0917701410671154,6.40079840310863e-90,1.1480972308104618e-88
orf19.1066,300.62318906504436,1.644721658343359,0.2202024383040464,2.3326412332117057e-14,9.864733453731346e-14
orf19.107,1116.5690942638512,2.4362381689582286,0.1401337563526774,1.5017254994433263e-68,2.0466747964028913e-67
orf19.1077,1928.543293523977,-2.2157707556550834,0.12135986551113574,2.3448280767832323e-75,3.5268474350074545e-74
orf19.1082,151.15779701312783,2.662440896047334,0.31644183183598157,5.5838235756973965e-18,2.725115462040903e-17
orf19.1083,247.3307186068079,1.013230481982814,0.2341182049272052,7.888035329997442e-6,1.8749853971760862e-5
orf19.1090,89.1503127648494,2.034380694089103,0.3872179393140988,2.828987337513331e-8,8.284755725039268e-8
orf19.1091,484.8907561323404,2.9569437377192105,0.19264240313204517,6.330876736456667e-54,7.456100488483493e-53
orf19.1092,705.1206601666122,-1.0446067927616356,0.15320161970870116,4.76984603628244e-12,1.7860455284028187e-11
orf19.11,147.046112076316,4.082207685532753,0.37385982123036765,1.4836601964636805e-28,1.0500007875653394e-27
orf19.1108,4154.725408328834,-2.453885117570175,0.10485821069861968,6.831684262072537e-122,1.698939169874772e-120
